,RP1,RP2,RP3,RP4,RP5,RP6,RP7,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP_sum,LP_mean,LP_std,LP_var,LP_min,LP_max,LP_sma,LP_quantile,LP_median,LP_mad,LP_skew,LP_kurt,RAX,RAY,RAZ,RA_sum,RA_mean,RA_std,RA_var,RA_min,RA_max,RA_sma,RA_quantile,RA_median,RA_mad,RA_skew,LAX,LAY,LAZ,LA_sum,LA_mean,LA_std,LA_var,LA_min,LA_max,LA_sma,LA_quantile,LA_median,LA_mad,LA_skew,label
240,1,23,23,22,21,21,37,19,7,6,7,6,3,1,49,7.0,5.744562646538029,33.0,1,19,8.285714285714302,6.0,6.0,3.4285714285714284,1.7798121551349224,4.15188246097337,212,144,16,372,124.0,99.51884243699783,9904.0,16,212,96.79999999999995,144.0,144.0,72.0,-0.8678266637069509,44,52,48,144,48.0,4.0,16.0,44,52,134.66666666666669,48.0,48.0,2.6666666666666665,0.0,5
241,1,19,19,19,18,17,31,17,7,6,6,5,3,1,45,6.428571428571429,5.094347941825426,25.952380952380953,1,17,7.742857142857159,6.0,6.0,3.183673469387755,1.7264681286466312,3.953875263024994,232,8,228,468,156.0,128.18736287169654,16432.0,8,232,101.59999999999995,228.0,228.0,98.66666666666667,-1.7301536707540552,8,60,20,88,29.333333333333332,27.227437142216182,741.3333333333334,8,60,109.06666666666669,20.0,20.0,20.444444444444443,1.3613013963760077,5
242,1,17,17,17,16,15,28,17,7,7,7,6,3,1,48,6.857142857142857,5.047394424471944,25.47619047619047,1,17,7.3428571428571585,7.0,7.0,3.020408163265306,1.4235900657792155,3.215654118263604,156,20,16,192,64.0,79.6994353806851,6352.0,16,156,98.9333333333333,20.0,20.0,61.333333333333336,1.7271438911656696,12,64,12,88,29.333333333333332,30.02221399786054,901.3333333333334,12,64,93.0666666666667,12.0,12.0,23.11111111111111,1.7320508075688785,5
243,1,15,15,15,14,14,25,19,8,8,8,6,3,1,53,7.571428571428571,5.740416444159861,32.95238095238094,1,19,7.11428571428573,8.0,8.0,3.6326530612244903,1.3689063436405802,2.9234337933108403,36,68,120,224,74.66666666666667,42.39496825489239,1797.3333333333333,36,120,97.86666666666663,68.0,68.0,30.222222222222225,0.6901328492919037,16,196,140,352,117.33333333333333,92.11586906355133,8485.333333333334,16,196,79.4666666666667,140.0,140.0,67.55555555555556,-1.0402551811182343,5
244,1,13,14,14,12,13,22,21,9,8,9,7,4,1,59,8.428571428571429,6.267831705280087,39.285714285714285,1,21,7.257142857142872,8.0,8.0,3.918367346938776,1.4094478335689526,3.1906671074380117,40,220,16,276,92.0,111.49887891813083,12432.0,16,220,102.1333333333333,40.0,40.0,85.33333333333333,1.6422070686351318,16,196,140,352,117.33333333333333,92.11586906355133,8485.333333333334,16,196,68.2666666666667,140.0,140.0,67.55555555555556,-1.0402551811182343,5
245,1,10,11,11,10,10,17,24,10,10,11,8,5,1,69,9.857142857142858,7.151423434733616,51.14285714285714,1,24,7.828571428571445,10.0,10.0,4.448979591836735,1.2852072788578102,2.937898317780343,176,24,68,268,89.33333333333333,78.2133833389998,6117.333333333333,24,176,95.19999999999996,68.0,68.0,57.77777777777777,1.136095721151412,20,180,228,428,142.66666666666666,108.90974856886473,11861.333333333332,20,228,87.20000000000002,180.0,180.0,81.77777777777779,-1.3613013963760068,5
246,1,9,9,9,8,8,14,25,11,10,11,9,6,1,73,10.428571428571429,7.3452284479368615,53.95238095238095,1,25,8.628571428571444,10.0,10.0,4.4897959183673475,1.2754646176393831,3.1569501647205804,20,32,228,280,93.33333333333333,116.77899354478672,13637.333333333336,20,228,82.66666666666663,32.0,32.0,89.77777777777779,1.7114981522862254,208,232,32,472,157.33333333333334,109.20317455703078,11925.333333333334,32,232,112.80000000000003,208.0,208.0,83.55555555555556,-1.6384093212611324,5
247,1,8,8,8,7,7,13,28,12,11,12,10,7,1,81,11.571428571428571,8.223080178318076,67.61904761904763,1,28,9.571428571428587,11.0,11.0,4.938775510204081,1.3231908225875553,3.3546760563380307,20,32,228,280,93.33333333333333,116.77899354478672,13637.333333333336,20,228,88.53333333333329,32.0,32.0,89.77777777777779,1.7114981522862254,176,88,240,504,168.0,76.31513611335565,5824.0,88,240,140.53333333333336,176.0,176.0,53.333333333333336,-0.46654435040920544,5
248,1,5,5,5,5,5,8,29,13,12,13,10,7,1,85,12.142857142857142,8.571825387640049,73.47619047619048,1,29,10.485714285714304,12.0,12.0,5.3061224489795915,1.2084988157236385,2.974887613620183,48,152,208,408,136.0,81.19113252073775,6592.0,48,208,100.79999999999997,152.0,152.0,58.666666666666664,-0.8523576571304712,224,40,220,484,161.33333333333334,105.09678079433895,11045.333333333334,40,224,149.33333333333334,220.0,220.0,80.88888888888889,-1.7292286012297156,5
249,1,4,4,4,4,4,7,29,13,12,13,10,7,1,85,12.142857142857142,8.571825387640049,73.47619047619048,1,29,11.228571428571446,12.0,12.0,5.3061224489795915,1.2084988157236385,2.974887613620183,16,168,172,356,118.66666666666667,88.93443277681223,7909.333333333333,16,172,106.1333333333333,168.0,168.0,68.44444444444444,-1.7281098503730399,28,220,40,288,96.0,107.55463727799001,11568.0,28,220,145.06666666666666,40.0,40.0,82.66666666666667,1.7078263843533394,5
